ORI,PUB_AGENCY_NAME,AGENCY_TYPE_NAME,STATE_ABBR
AR0280100,Paragould,City,AR
AR0280200,Marmaduke,City,AR
AR0290100,Hope,City,AR
AR0300100,Malvern,City,AR
AR0310000,Howard,County,AR
AR0310100,Nashville,City,AR
AR0310200,Dierks,City,AR
AR0310400,Mineral Springs,City,AR
AR0320000,Independence,County,AR
AR0330000,Izard,County,AR
AR0330200,Horseshoe Bend,City,AR
AR0340000,Jackson,County,AR
AR0340100,Newport,City,AR
AR0340200,Tuckerman,City,AR
AR0340300,Diaz,City,AR
AR0350000,Jefferson,County,AR
AR0350100,Pine Bluff,City,AR
AR0350300,Redfield,City,AR
AR0350400,University of Arkansas:,University or College,AR
AR0360000,Johnson,County,AR
AR0360100,Clarksville,City,AR
AR0370300,Lewisville,City,AR
AR0380000,Lawrence,County,AR
AR0380100,Walnut Ridge,City,AR
AR0380200,Hoxie,City,AR
AR0390000,Lee,County,AR
AR0390100,Marianna,City,AR
AR0400100,Gould,City,AR
AR0400200,Star City,City,AR
AR0410000,Little River,County,AR
AR0410100,Ashdown,City,AR
AR0420000,Logan,County,AR
AR0420100,Booneville,City,AR
AR0420200,Paris,City,AR
AR0430000,Lonoke,County,AR
AR0430100,England,City,AR
AR0430200,Cabot,City,AR
AR0430400,Lonoke,City,AR
AR0430600,Ward,City,AR
AR0440000,Madison,County,AR
AR0450000,Marion,County,AR
AR0450300,Flippin,City,AR
AR0460100,Texarkana,City,AR
AR0470000,Mississippi,County,AR
AR0470100,Blytheville,City,AR
AR0470200,Osceola,City,AR
AR0470500,Luxora,City,AR
AR0470700,Gosnell,City,AR
AR0480100,Brinkley,City,AR
AR0490000,Montgomery,County,AR
AR0500100,Prescott,City,AR
AR0510000,Newton,County,AR
AR0520000,Ouachita,County,AR
AR0520100,Camden,City,AR
AR0520200,Bearden,City,AR
AR0530000,Perry,County,AR
AR0540100,Helena-West Helena,City,AR
AR0540200,West Helena,City,AR
AR0540300,Marvell,City,AR
AR0550000,Pike,County,AR
AR0550200,Glenwood,City,AR
AR0560100,Marked Tree,City,AR
AR0560200,Trumann,City,AR
AR0560300,Harrisburg,City,AR
AR0570000,Polk,County,AR
AR0570100,Mena,City,AR
AR0580000,Pope,County,AR
AR0580100,Russellville,City,AR
AR0580200,Atkins,City,AR
AR0590000,Prairie,County,AR
AR0590100,Hazen,City,AR
AR0600000,Pulaski,County,AR
AR0600100,Jacksonville,City,AR
AR0600200,Little Rock,City,AR
AR0600300,North Little Rock,City,AR
AR0600400,Sherwood,City,AR
AR0600500,University of Arkansas:,University or College,AR
AR0600800,Cammack Village,City,AR
AR0600900,University of Arkansas:,University or College,AR
AR0601600,Maumelle,City,AR
AR0610000,Randolph,County,AR
AR0620000,St. Francis,County,AR
AR0620100,Forrest City,City,AR
AR0630000,Saline,County,AR
AR0630100,Benton,City,AR
AR0630200,Bryant,City,AR
AR0640000,Scott,County,AR
AR0640100,Waldron,City,AR
AR0660000,Sebastian,County,AR
AR0660100,Fort Smith,City,AR
AR0660200,Greenwood,City,AR
AR0660300,Barling,City,AR
AR0670000,Sevier,County,AR
AR0670100,De Queen,City,AR
AR0680400,Cherokee Village,City,AR
AR0700100,El Dorado,City,AR
AR0700200,Smackover,City,AR
AR0710100,Fairfield Bay,City,AR
AR0710200,Clinton,City,AR
AR0720000,Washington,County,AR
AR0720100,Fayetteville,City,AR
AR0720200,Springdale,City,AR
AR0720400,University of Arkansas:,University or College,AR
AR0720500,Farmington,City,AR
AR0720800,West Fork,City,AR
AR0721000,Elkins,City,AR
AR0730000,White,County,AR
AR0730100,Searcy,City,AR
AR0730200,Bald Knob,City,AR
AR0730300,Beebe,City,AR
AR0730400,Kensett,City,AR
AR0730700,Judsonia,City,AR
AR0740000,Woodruff,County,AR
AR0750000,Yell,County,AR
AR0750100,Dardanelle,City,AR
AR0750200,Danville,City,AR
AR0750300,Ola,City,AR
AZ0010000,Apache,County,AZ
AZ0010100,Eagar,City,AZ
AZ0010300,St. Johns,City,AZ
AZ0010500,Springerville,City,AZ
AZ0020000,Cochise,County,AZ
AZ0020100,Benson,City,AZ
AZ0020300,Bisbee,City,AZ
AZ0020900,Sierra Vista,City,AZ
AZ0021100,Tombstone,City,AZ
AZ0021300,Willcox,City,AZ
AZ0030000,Coconino,County,AZ
AZ0030100,Flagstaff,City,AZ
AZ0030700,Williams,City,AZ
AZ0030800,Page,City,AZ
AZ0031000,Sedona,City,AZ
AZ0039700,Northern Arizona University,University or College,AZ
AZ0040000,Gila,County,AZ
AZ0040100,Globe,City,AZ
AZ0040300,Hayden,City,AZ
AZ0040500,Miami,City,AZ
AZ0040600,Payson,City,AZ
AZ0050000,Graham,County,AZ
AZ0070000,Maricopa,County,AZ
AZ0070100,Avondale,City,AZ
AZ0070300,Buckeye,City,AZ
AZ0070500,Chandler,City,AZ
AZ0070700,El Mirage,City,AZ
AZ0071100,Gilbert,City,AZ
AZ0071300,Glendale,City,AZ
AZ0071500,Goodyear,City,AZ
AZ0071700,Mesa,City,AZ
AZ0071900,Paradise Valley,City,AZ
AZ0072100,Peoria,City,AZ
AZ0072300,Phoenix,City,AZ
AZ0072500,Scottsdale,City,AZ
AZ0072700,Surprise,City,AZ
AZ0072900,Tempe,City,AZ
AZ0073100,Tolleson,City,AZ
AZ0073300,Wickenburg,City,AZ
AZ0074400,Arizona State Capitol,Other State Agency,AZ
AZ0075700,Arizona State University:,University or College,AZ
AZ0079700,Arizona State University:,University or College,AZ
AZ0080000,Mohave,County,AZ
AZ0080100,Kingman,City,AZ
AZ0080400,Lake Havasu City,City,AZ
AZ0080500,Bullhead City,City,AZ
AZ0090000,Navajo,County,AZ
AZ0090100,Holbrook,City,AZ
AZ0090300,Show Low,City,AZ
AZ0090900,Winslow,City,AZ
AZ0091300,Pinetop-Lakeside,City,AZ
AZ0100000,Pima,County,AZ
AZ0100100,South Tucson,City,AZ
AZ0100300,Tucson,City,AZ
AZ0100400,Sahuarita,City,AZ
AZ0100700,Oro Valley,City,AZ
AZ0100900,Marana,City,AZ
AZ0101000,Tucson Airport Authority,Other,AZ
AZ0109700,University of Arizona,University or College,AZ
AZ0109800,Pima Community College,University or College,AZ
AZ0110000,Pinal,County,AZ
AZ0110100,Casa Grande,City,AZ
AZ0110300,Coolidge,City,AZ
AZ0111100,Mammoth,City,AZ
AZ0111300,Apache Junction,City,AZ
AZ0111700,Maricopa,City,AZ
AZ0119700,Central Arizona College,University or College,AZ
AZ0120100,Nogales,City,AZ
AZ0130000,Yavapai,County,AZ
AZ0130300,Cottonwood,City,AZ
AZ0130500,Jerome,City,AZ
AZ0130700,Prescott,City,AZ
AZ0131100,Prescott Valley,City,AZ
AZ0131200,Chino Valley,City,AZ
AZ0131300,Camp Verde,City,AZ
AZ0131400,Sedona,City,AZ
AZ0140000,Yuma,County,AZ
AZ0140300,Somerton,City,AZ
AZ0140500,Yuma,City,AZ
AZ0140800,San Luis,City,AZ
AZ0150000,La Paz,County,AZ
AZ0150300,Quartzsite,City,AZ
AZCCHPX00,Arizona Department of Public Safety,State Police,AZ
AZFBIPX00,Federal Bureau of Investigation,Federal,AZ
CA0010000,Alameda,County,CA
CA0010100,Alameda,City,CA
CA0010200,Albany,City,CA
CA0010300,Berkeley,City,CA
CA0010400,Emeryville,City,CA
CA0010500,Fremont,City,CA
CA0010600,Hayward,City,CA
CA0010700,Livermore,City,CA
CA0010800,Newark,City,CA
CA0010900,Oakland,City,CA
CA0011000,Piedmont,City,CA
CA0011100,Pleasanton,City,CA
CA0011200,San Leandro,City,CA
CA0011300,Union City,City,CA
CA0011400,East Bay Regional Park District,Other,CA
CA0011500,California State University:,University or College,CA
CA0012100,San Francisco Bay Area Rapid Transit:,Other,CA
CA001300X,Dublin,City,CA
CA0019700,University of California:,University or College,CA
CA0020000,Alpine,County,CA
CA0030000,Amador,County,CA
CA0030200,Ione,City,CA
CA0030300,Jackson,City,CA
CA0040000,Butte,County,CA
CA0040200,Chico,City,CA
CA0040300,Gridley,City,CA
CA0040400,Oroville,City,CA
CA0040500,Paradise,City,CA
CA0040700,Department of Parks and Recreation:,Other State Agency,CA
CA0049700,California State University:,University or College,CA
CA0050000,Calaveras,County,CA
CA0050100,Angels Camp,City,CA
CA0060000,Colusa,County,CA
CA0060100,Colusa,City,CA
CA0060200,Williams,City,CA
CA0070000,Contra Costa,County,CA
CA0070100,Antioch,City,CA
CA0070200,Brentwood,City,CA
CA0070300,Clayton,City,CA
CA0070400,Concord,City,CA
CA0070500,El Cerrito,City,CA
CA0070600,Hercules,City,CA
CA0070700,Pinole,City,CA
CA0070800,Pittsburg,City,CA
CA0070900,Pleasant Hill,City,CA
CA0071000,Richmond,City,CA
CA0071100,San Pablo,City,CA
CA0071200,Walnut Creek,City,CA
CA0071400,Martinez,City,CA
CA0071500,Lafayette,City,CA
CA0071600,Moraga,City,CA
CA0071700,East Bay Regional Parks:,Other,CA
CA0071800,San Francisco Bay Area Rapid Transit:,Other,CA
CA0072100,Contra Costa Community College,University or College,CA
CA007230X,Danville,City,CA
CA007240X,San Ramon,City,CA
CA007260X,Orinda,City,CA
CA007340X,Oakley,City,CA
CA0080000,Del Norte,County,CA
CA0080100,Crescent City,City,CA
CA0090000,El Dorado,County,CA
CA0090100,Placerville,City,CA
CA0090200,South Lake Tahoe,City,CA
CA0100000,Fresno,County,CA
CA0100100,Clovis,City,CA
CA0100200,Coalinga,City,CA
CA0100300,Firebaugh,City,CA
CA0100400,Fowler,City,CA
CA0100500,Fresno,City,CA
CA0100600,Huron,City,CA
CA0100700,Kerman,City,CA
CA0100800,Kingsburg,City,CA
CA0101100,Parlier,City,CA
CA0101200,Reedley,City,CA
CA0101300,Sanger,City,CA
CA0101500,Selma,City,CA
CA0101700,State Center Community College District,University or College,CA
CA0109700,California State University:,University or College,CA
CA0110000,Glenn,County,CA
CA0110100,Orland,City,CA
CA0120000,Humboldt,County,CA
CA0120100,Arcata,City,CA
CA0120300,Eureka,City,CA
CA0120700,Rio Dell,City,CA
CA0120800,Humboldt State University,University or College,CA
CA0121100,Department of Parks and Recreation:,Other State Agency,CA
CA0130000,Imperial,County,CA
CA0130100,Brawley,City,CA
CA0130200,Calexico,City,CA
CA0130300,Calipatria,City,CA
CA0130500,Holtville,City,CA
CA0130600,Imperial,City,CA
CA0140000,Inyo,County,CA
CA0140100,Bishop,City,CA
CA0150000,Kern,County,CA
CA0150100,Arvin,City,CA
CA0150200,Bakersfield,City,CA
CA0150300,Delano,City,CA
CA0150600,Ridgecrest,City,CA
CA0150700,Shafter,City,CA
CA0150800,Taft,City,CA
CA0150900,Tehachapi,City,CA
CA0151100,California City,City,CA
CA0159700,California State University:,University or College,CA
CA0160000,Kings,County,CA
CA0160100,Corcoran,City,CA
CA0160200,Hanford,City,CA
CA0160300,Lemoore,City,CA
CA016070X,Avenal,City,CA
CA0170000,Lake,County,CA
CA0170100,Lakeport,City,CA
CA0170200,Clearlake,City,CA
CA0180000,Lassen,County,CA
CA0180100,Susanville,City,CA
CA0190000,Los Angeles,County,CA
CA0190100,Alhambra,City,CA
CA0190200,Arcadia,City,CA
CA0190300,Artesia,City,CA
CA0190400,Avalon,City,CA
CA0190500,Azusa,City,CA
CA0190600,Baldwin Park,City,CA
CA0190700,Bell,City,CA
CA0190800,Bellflower,City,CA
CA0190900,Bell Gardens,City,CA
CA0190C00,El Camino College,University or College,CA
CA0190D0X,La Habra Heights,City,CA
CA0190K00,Los Angeles County Metropolitan Transportation Authority,Other,CA
CA0190P00,Long Beach City College,University or College,CA
CA0190R00,Pasadena Community College,University or College,CA
CA0190X0X,Westlake Village,City,CA
CA0191000,Beverly Hills,City,CA
CA0191100,Bradbury,City,CA
CA0191200,Burbank,City,CA
CA0191300,Claremont,City,CA
CA0191400,Commerce,City,CA
CA0191500,Compton,City,CA
CA0191600,Covina,City,CA
CA0191700,Cudahy,City,CA
CA0191800,Culver City,City,CA
CA0191900,Cerritos,City,CA
CA0191F00,Agoura Hills,City,CA
CA0191H0X,West Hollywood,City,CA
CA0191R0X,Santa Clarita,City,CA
CA0191W0X,Diamond Bar,City,CA
CA0192000,Downey,City,CA
CA0192100,Duarte,City,CA
CA0192200,El Monte,City,CA
CA0192300,El Segundo,City,CA
CA0192400,Gardena,City,CA
CA0192500,Glendale,City,CA
CA0192600,Glendora,City,CA
CA0192700,Hawaiian Gardens,City,CA
CA0192800,Hawthorne,City,CA
CA0192900,Hermosa Beach,City,CA
CA0192H0X,Calabasas,City,CA
CA0192J0X,Malibu,City,CA
CA0192U0X,Los Angeles Transportation Services Bureau,Other,CA
CA0193100,Huntington Park,City,CA
CA0193200,Industry,City,CA
CA0193300,Inglewood,City,CA
CA0193400,Irwindale,City,CA
CA0193500,Lakewood,City,CA
CA0193600,La Mirada,City,CA
CA0193700,La Puente,City,CA
CA0193800,La Verne,City,CA
CA0193900,Lawndale,City,CA
CA0194000,Lomita,City,CA
CA0194100,Long Beach,City,CA
CA0194200,Los Angeles,City,CA
CA0194300,Lynwood,City,CA
CA0194400,Manhattan Beach,City,CA
CA0194500,Maywood,City,CA
CA0194600,Monrovia,City,CA
CA0194700,Montebello,City,CA
CA0194800,Monterey Park,City,CA
CA0194900,Norwalk,City,CA
CA0195000,Palmdale,City,CA
CA0195100,Palos Verdes Estates,City,CA
CA0195200,Paramount,City,CA
CA0195300,Pasadena,City,CA
CA0195400,Pico Rivera,City,CA
CA0195500,Pomona,City,CA
CA0195600,Redondo Beach,City,CA
CA0195800,Rolling Hills Estates,City,CA
CA0195900,Rosemead,City,CA
CA0196000,San Dimas,City,CA
CA0196100,San Fernando,City,CA
CA0196200,San Gabriel,City,CA
CA0196300,San Marino,City,CA
CA0196400,Santa Fe Springs,City,CA
CA0196500,Santa Monica,City,CA
CA0196600,Sierra Madre,City,CA
CA0196700,Signal Hill,City,CA
CA0196800,South El Monte,City,CA
CA0196900,South Gate,City,CA
CA0197000,South Pasadena,City,CA
CA0197100,Temple City,City,CA
CA0197200,Torrance,City,CA
CA0197300,Vernon,City,CA
CA0197400,Walnut,City,CA
CA0197500,West Covina,City,CA
CA0197600,Whittier,City,CA
CA0197700,Carson,City,CA
CA0197800,California State Polytechnic University:,University or College,CA
CA0198000,Rancho Palos Verdes,City,CA
CA0198100,California State University:,University or College,CA
CA0198200,California State University:,University or College,CA
CA0198300,California State University:,University or College,CA
CA0198400,California State University:,University or College,CA
CA019900X,La Canada Flintridge,City,CA
CA019960X,Lancaster,City,CA
CA0199700,University of California:,University or College,CA
CA0200000,Madera,County,CA
CA0200100,Chowchilla,City,CA
CA0200200,Madera,City,CA
CA0210000,Marin,County,CA
CA0210300,Fairfax,City,CA
CA0210400,Twin Cities,City,CA
CA0210500,Mill Valley,City,CA
CA0210600,Novato,City,CA
CA0210700,Ross,City,CA
CA0210800,San Anselmo,City,CA
CA0210900,San Rafael,City,CA
CA0211100,Tiburon,City,CA
CA0211300,Marin Community College,University or College,CA
CA0211400,Department of Parks and Recreation:,Other State Agency,CA
CA0211700,Central Marin,City,CA
CA0220000,Mariposa,County,CA
CA0230000,Mendocino,County,CA
CA0230100,Fort Bragg,City,CA
CA0230300,Ukiah,City,CA
CA0230400,Willits,City,CA
CA0240000,Merced,County,CA
CA0240100,Atwater,City,CA
CA0240200,Dos Palos,City,CA
CA0240300,Gustine,City,CA
CA0240400,Livingston,City,CA
CA0240500,Los Banos,City,CA
CA0240600,Merced,City,CA
CA0250000,Modoc,County,CA
CA0260000,Mono,County,CA
CA0260100,Mammoth Lakes,City,CA
CA0270000,Monterey,County,CA
CA0270100,Carmel,City,CA
CA0270300,Gonzales,City,CA
CA0270400,Greenfield,City,CA
CA0270500,King City,City,CA
CA0270600,Monterey,City,CA
CA0270700,Pacific Grove,City,CA
CA0270800,Salinas,City,CA
CA0271000,Seaside,City,CA
CA0271100,Soledad,City,CA
CA0271200,Marina,City,CA
CA0271400,Monterey Peninsula Airport,Other,CA
CA0271900,California State University:,University or College,CA
CA0280000,Napa,County,CA
CA0280200,Napa,City,CA
CA0280300,St. Helena,City,CA
CA0280900,American Canyon,City,CA
CA0290000,Nevada,County,CA
CA0290100,Grass Valley,City,CA
CA0290200,Nevada City,City,CA
CA0290800,Truckee,City,CA
CA0300000,Orange,County,CA
CA0300100,Anaheim,City,CA
CA0300200,Brea,City,CA
CA0300300,Buena Park,City,CA
CA0300400,Costa Mesa,City,CA
CA0300500,Cypress,City,CA
CA0300600,La Palma,City,CA
CA0300700,Fountain Valley,City,CA
CA0300800,Fullerton,City,CA
CA0300900,Garden Grove,City,CA
CA0301000,Huntington Beach,City,CA
CA0301100,Laguna Beach,City,CA
CA0301200,La Habra,City,CA
CA0301300,Los Alamitos,City,CA
CA0301400,Newport Beach,City,CA
CA0301500,Orange,City,CA
CA0301600,Placentia,City,CA
CA0301700,San Clemente,City,CA
CA0301800,San Juan Capistrano,City,CA
CA0301900,Santa Ana,City,CA
CA0302000,Seal Beach,City,CA
CA0302100,Stanton,City,CA
CA0302200,Tustin,City,CA
CA0302300,Villa Park,City,CA
CA0302400,Westminster,City,CA
CA0302500,Yorba Linda,City,CA
CA0302600,Irvine,City,CA
CA0302700,California State University:,University or College,CA
CA0303200,Department of Parks and Recreation:,Other State Agency,CA
CA030350X,Mission Viejo,City,CA
CA030360X,Dana Point,City,CA
CA030390X,Laguna Niguel,City,CA
CA030420X,Laguna Hills,City,CA
CA030430X,Lake Forest,City,CA
CA030470X,Laguna Woods,City,CA
CA030480X,Rancho Santa Margarita,City,CA
CA030490X,Aliso Viejo,City,CA
CA0309700,University of California:,University or College,CA
CA0310000,Placer,County,CA
CA0310100,Auburn,City,CA
CA0310300,Lincoln,City,CA
CA0310400,Rocklin,City,CA
CA0310500,Roseville,City,CA
CA0320000,Plumas,County,CA
CA0329900,Highway Patrol:,State Police,CA
CA0330000,Riverside,County,CA
CA0330100,Banning,City,CA
CA0330200,Beaumont,City,CA
CA0330300,Blythe,City,CA
CA0330500,Coachella,City,CA
CA0330600,Desert Hot Springs,City,CA
CA0330800,Hemet,City,CA
CA0330900,Indio,City,CA
CA0331000,Norco,City,CA
CA0331100,Palm Springs,City,CA
CA0331200,Perris,City,CA
CA0331300,Riverside,City,CA
CA0331400,San Jacinto,City,CA
CA0331500,Corona,City,CA
CA0331600,Indian Wells,City,CA
CA0331700,Rancho Mirage,City,CA
CA0331800,Palm Desert,City,CA
CA0332500,Cathedral City,City,CA
CA033300X,Lake Elsinore,City,CA
CA033310X,La Quinta,City,CA
CA033320X,Moreno Valley,City,CA
CA033380X,Temecula,City,CA
CA033400X,Calimesa,City,CA
CA033410X,Canyon Lake,City,CA
CA0334200,Murrieta,City,CA
CA0334400,Riverside Community College,University or College,CA
CA033770X,Wildomar,City,CA
CA033780X,Menifee,City,CA
CA033790X,Eastvale,City,CA
CA0339700,University of California:,University or College,CA
CA033A000,Jurupa Valley,City,CA
CA0340000,Sacramento,County,CA
CA0340100,Folsom,City,CA
CA0340200,Galt,City,CA
CA0340400,Sacramento,City,CA
CA0340800,California State University:,University or College,CA
CA0340H00,Elk Grove,City,CA
CA0341200,Department of Parks and Recreation:,Other State Agency,CA
CA0341400,Twin Rivers Unified School District,Other,CA
CA0342000,California State Fair,Other State Agency,CA
CA034550X,Rancho Cordova,City,CA
CA0349600,Citrus Heights,City,CA
CA0349700,University of California:,University or College,CA
CA0350000,San Benito,County,CA
CA0350100,Hollister,City,CA
CA0360000,San Bernardino,County,CA
CA0360100,Barstow,City,CA
CA0360200,Chino,City,CA
CA0360300,Colton,City,CA
CA0360400,Fontana,City,CA
CA0360500,Montclair,City,CA
CA0360600,Needles,City,CA
CA0360700,Ontario,City,CA
CA0360800,Redlands,City,CA
CA0360900,Rialto,City,CA
CA0361000,San Bernardino,City,CA
CA0361100,Upland,City,CA
CA0361200,Victorville,City,CA
CA0361300,Adelanto,City,CA
CA0361400,California State University:,University or College,CA
CA0361600,Rancho Cucamonga,City,CA
CA036200X,Big Bear ,City,CA
CA036210X,Grand Terrace,City,CA
CA036220X,Loma Linda,City,CA
CA0362300,San Bernardino Unified School District,Other,CA
CA036300X,Highland,City,CA
CA036310X,Twentynine Palms,City,CA
CA036320X,Hesperia,City,CA
CA036330X,Apple Valley,City,CA
CA036350X,Yucaipa,City,CA
CA036400X,Chino Hills,City,CA
CA036410X,Yucca Valley,City,CA
CA0365000,Fontana Unified School District,Other,CA
CA036590X,Department of Parks and Recreation:,Other State Agency,CA
CA0369900,Highway Patrol:,State Police,CA
CA0370000,San Diego,County,CA
CA0370100,Carlsbad,City,CA
CA0370200,Chula Vista,City,CA
CA0370300,Coronado,City,CA
CA0370400,Del Mar,City,CA
CA0370500,El Cajon,City,CA
CA0370600,Escondido,City,CA
CA0370700,Imperial Beach,City,CA
CA0370800,La Mesa,City,CA
CA0370900,National City,City,CA
CA0371000,Oceanside,City,CA
CA0371100,San Diego,City,CA
CA0371200,San Marcos,City,CA
CA0371300,Vista,City,CA
CA0371400,San Diego State University,University or College,CA
CA0371500,Port of San Diego Harbor,Other,CA
CA0372500,Department of Parks and Recreation:,Other State Agency,CA
CA0373200,California State University:,University or College,CA
CA0379700,University of California:,University or College,CA
CA0379900,Highway Patrol:,State Police,CA
CA037A100,Lemon Grove,City,CA
CA037A200,Santee,City,CA
CA037A300,Poway,City,CA
CA037A400,Encinitas,City,CA
CA037A500,Solana Beach,City,CA
CA0380100,San Francisco,City,CA
CA0380300,San Francisco State University,University or College,CA
CA0380500,San Francisco Bay Area Rapid Transit:,Other,CA
CA0381600,University of California:,University or College,CA
CA0389700,University of California:,University or College,CA
CA0389900,Highway Patrol:,State Police,CA
CA0390000,San Joaquin,County,CA
CA0390100,Escalon,City,CA
CA0390200,Lodi,City,CA
CA0390300,Manteca,City,CA
CA0390400,Ripon,City,CA
CA0390500,Stockton,City,CA
CA0390600,Tracy,City,CA
CA0391500,Stockton Unified School District,Other,CA
CA0400000,San Luis Obispo,County,CA
CA0400100,Arroyo Grande,City,CA
CA0400200,Grover Beach,City,CA
CA0400300,Morro Bay,City,CA
CA0400400,Paso Robles,City,CA
CA0400500,Pismo Beach,City,CA
CA0400600,San Luis Obispo,City,CA
CA0400700,California State Polytechnic University:,University or College,CA
CA0400800,Atascadero,City,CA
CA0401300,Department of Parks and Recreation:,Other State Agency,CA
CA0401400,Department of Parks and Recreation:,Other State Agency,CA
CA0401900,Cuesta College,University or College,CA
CA0410000,San Mateo,County,CA
